Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,FCO3459505,62204,68650,06/01/2022,06/01/2022
Pagado,FCO3459506,62562,61285,29/12/2021,29/12/2021
Pagado,FCO3459507,63145,233147,28/04/2022,28/04/2022
Pagado,FCO3459508,65276,409440,19/01/2022,19/01/2022
Pagado,FCO3459510,65484,51479,11/02/2022,11/02/2022
Pagado,FCO3459511,65575,44738,21/02/2022,21/02/2022
Pagado,FCO3459512,65678,41650,29/03/2022,29/03/2022
Pagado,FCO3459513,65794,126438,19/01/2022,19/01/2022
Pagado,FCO3459514,66475,120784,04/01/2022,04/01/2022
Pagado,FCO3459517,70139,69818,14/01/2022,14/01/2022
Pagado,FCO3459518,70210,90356,31/01/2022,31/01/2022
Pagado,FCO3459519,70518,85535,18/01/2022,18/01/2022
Pagado,FCO3459520,71094,23800,12/01/2022,12/01/2022
Pagado,FCO3459522,72150,157835,31/03/2022,31/03/2022
Pagado,FCO3459523,72675,44738,05/01/2022,05/01/2022
Pagado,FCO3459524,72996,138096,11/01/2022,11/01/2022
Pagado,FCO3459525,73179,27663,12/01/2022,12/01/2022
Pagado,FCO3459526,73189,109427,04/01/2022,04/01/2022
Pagado,FCO3459527,73453,859010,04/02/2022,04/02/2022
Pagado,FCO3459528,73790,44738,29/12/2021,29/12/2021
Pagado,FCO3459529,73791,23800,07/02/2022,07/02/2022
Pagado,FCO3459531,74738,98201,12/01/2022,12/01/2022
Pagado,FCO3459532,75248,90294,07/03/2022,07/03/2022
Pagado,FCO3459533,75275,41650,27/01/2022,27/01/2022
Pagado,FCO3459534,75586,41650,18/01/2022,18/01/2022
Pagado,FCO3459535,75796,40644,13/01/2022,13/01/2022
Pagado,FCO3459536,75905,42900,25/01/2022,25/01/2022
Pagado,FCO3459538,76786,24909,24/02/2022,24/02/2022
Pagado,FCO3459539,77633,43435,27/04/2022,27/04/2022
Pagado,FCO3459540,78453,66650,24/01/2022,24/01/2022
Pagado,FCO3459541,78832,118300,18/01/2022,18/01/2022
Pagado,FCO3459542,78874,298624,26/01/2022,26/01/2022
Pagado,FCO3459543,78903,118632,01/02/2022,01/02/2022
Pagado,FCO3459544,78949,89476,31/03/2022,31/03/2022
Pagado,FCO3459545,79455,41650,12/01/2022,12/01/2022
Pagado,FCO3459546,80872,260615,12/01/2022,12/01/2022
Pagado,FCO3459547,81952,46410,11/01/2022,11/01/2022
Pagado,FCO3459549,82106,41650,06/01/2022,06/01/2022
Pagado,FCO3459551,83533,1,25/07/2022,25/07/2022
Pagado,FCO3459552,83586,197032,21/02/2022,21/02/2022
Pagado,FCO3459553,83676,48629,10/06/2022,10/06/2022
Pagado,FCO3459554,83874,21420,18/01/2022,18/01/2022
Pagado,FCO3459555,85283,82459,27/01/2022,27/01/2022
Pagado,FCO3459558,86601,181364,21/02/2022,21/02/2022
Pagado,FCO3459560,87760,42900,12/01/2022,12/01/2022
Pagado,FCO3459561,88035,52360,14/02/2022,14/02/2022
Pagado,FCO3459562,88189,21420,18/01/2022,18/01/2022
Pagado,FCO3459563,88328,65126,19/01/2022,19/01/2022
Pagado,FCO3459564,88502,51130,31/12/2021,31/12/2021
Pagado,FCO3459565,89595,162802,07/01/2022,07/01/2022
Pagado,FCO3459566,90780,128435,28/12/2021,28/12/2021
Pagado,FCO3459567,91586,74595,01/06/2022,01/06/2022
Pagado,FCO3459568,91591,314566,30/12/2021,30/12/2021
Pagado,FCO3459569,91942,27270,29/12/2021,29/12/2021
Pagado,FCO3459571,92876,349113,03/02/2022,03/02/2022
Pagado,FCO3459572,93122,44505,30/12/2021,30/12/2021
Pagado,FCO3459573,93145,39072,12/01/2022,12/01/2022
Pagado,FCO3459575,94076,186895,18/01/2022,18/01/2022
Pagado,FCO3459577,95513,180539,01/02/2022,01/02/2022
