Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,FPA9000017235,7973532,35,02/09/2019,17/12/2021
Pagado,FPA9000017269,687396,20,16/09/2019,31/05/2022
Pagado,FPA9000017277,7973748,342,16/09/2019,27/03/2022
Pagado,FPA9000017283,7973786,228,16/09/2019,01/06/2022
Pagado,FPA9000017318,7974086,6,30/09/2019,09/02/2022
Pagado,FPA9000017340,668477,106,07/10/2019,14/02/2022
Pagado,FPA9000017391,667193,205,08/10/2019,27/05/2022
Pagado,FPA9000017415,688231,42,08/10/2019,27/05/2022
Pagado,FPA9000017419,688748,1382,08/10/2019,27/05/2022
Pagado,FPA9000017473,7971385,27,08/10/2019,30/06/2022
Pagado,FPA9000017476,7972772,109,08/10/2019,27/05/2022
Pagado,FPA9000017671,4863077,77,04/11/2019,22/10/2021
Pagado,FPA9000017673,4925012,348,04/11/2019,21/06/2022
Pagado,FPA9000017680,7974538,73,04/11/2019,26/10/2021
Pagado,FPA9000017689,66968180,275,04/11/2019,09/11/2021
Pagado,FPA9000017709,681100,1092,13/11/2019,23/02/2022
Pagado,FPA9000017719,67011890,1570,19/11/2019,31/01/2022
Pagado,FPA9000017740,666427,23,21/11/2019,31/03/2022
Pagado,FPA9000017750,1035271,80,25/11/2019,27/05/2022
Pagado,FPA9000017767,1085709,694,02/12/2019,08/07/2022
Pagado,FPA9000017768,665927,728,02/12/2019,01/11/2021
Pagado,FPA9000017794,669737,1038,04/12/2019,30/05/2022
Pagado,FPA9000017795,669737,1596,04/12/2019,30/05/2022
Pagado,FPA9000017796,669737,2541,04/12/2019,31/07/2022
Pagado,FPA9000017799,691085,226,04/12/2019,30/10/2021
Pagado,FPA9000017800,1035251,91,04/12/2019,30/10/2021
Pagado,FPA9000017833,669730,930,16/12/2019,28/07/2022
Pagado,FPA9000017834,669730,2636,16/12/2019,28/07/2022
Pagado,FPA9000017885,67208344,33,18/12/2019,30/10/2021
Pagado,FPA9000018012,682624,291,06/01/2020,23/09/2021
Pagado,FPA9000018017,1110077,71,06/01/2020,26/10/2021
Pagado,FPA9000018021,7973786,254,06/01/2020,01/10/2022
Pagado,FPA9000018111,67141009,90,16/01/2020,28/02/2022
Pagado,FPA9000018175,7975398,141,31/01/2020,27/05/2022
Pagado,FPA9000018181,6504868,353,31/01/2020,27/05/2022
Pagado,FPA9000018215,4247508,152,10/02/2020,28/09/2022
Pagado,FPA9000018241,7976376,33,17/02/2020,17/11/2021
Pagado,FPA9000018242,684870,327,10/02/2020,11/03/2022
Pagado,FPA9000018253,7975985,21,03/02/2020,27/05/2022
Pagado,FPA9000018259,7975692,47,03/02/2020,04/12/2021
Pagado,FPA9000018276,7405201,50,03/02/2020,27/04/2022
Pagado,FPA9000018308,668519,860,02/03/2020,15/03/2022
Pagado,FPA9000018317,6354166,915,02/03/2020,28/10/2021
Pagado,FPA9000018329,7976285,216,02/03/2020,01/09/2022
Pagado,FPA9000018330,67040724,150,02/03/2020,10/10/2022
Pagado,FPA9000018334,67021757,48,13/03/2020,10/12/2021
Pagado,FPA9000018340,684010,171,20/03/2020,27/05/2022
Pagado,FPA9000018343,7984755,55,20/03/2020,27/05/2022
Pagado,FPA9000018349,6419251,21,24/03/2020,27/05/2022
Pagado,FPA9000018357,1035235,351,09/03/2020,10/06/2022
Pagado,FPA9000018373,695261,158,30/03/2020,23/02/2022
Pagado,FPA9000018374,7552853,175,30/03/2020,23/02/2022
Pagado,FPA9000018379,7976736,235,09/03/2020,11/06/2022
Pagado,FPA9000018395,668767,50,06/04/2020,08/10/2022
Pagado,FPA9000018396,686620,923,06/04/2020,11/11/2021
Pagado,FPA9000018427,6501019,19,14/04/2020,31/01/2022
Pagado,FPA9000018429,4248657,79,16/04/2020,27/05/2022
Pagado,FPA9000018430,6484044,35,16/04/2020,27/05/2022
Pagado,FPA9000018439,7990815,89,04/04/2020,26/05/2022
Pagado,FPA9000018445,6308023,321,14/05/2020,19/05/2022
Pagado,FPA9000018450,697498,695,18/05/2020,27/05/2022
Pagado,FPA9000018495,667850,24,01/05/2020,08/10/2021
Pagado,FPA9000018497,667872,50,01/05/2020,28/02/2022
Pagado,FPA9000018505,668200,32,01/05/2020,31/12/2021
Pagado,FPA9000018509,668356,150,01/05/2020,31/08/2021
Pagado,FPA9000018518,668871,450,01/05/2020,31/08/2021
Pagado,FPA9000018526,669499,27,01/05/2020,31/01/2022
Pagado,FPA9000018536,669657,154,01/05/2020,31/01/2022
Pagado,FPA9000018569,676947,33,01/05/2020,31/01/2022
Pagado,FPA9000018571,680663,53,01/05/2020,31/01/2022
Pagado,FPA9000018586,682085,21,01/05/2020,31/01/2022
Pagado,FPA9000018638,687004,65,01/05/2020,30/11/2021
Pagado,FPA9000018651,687940,80,01/05/2020,31/01/2022
Pagado,FPA9000018663,688599,72,01/05/2020,28/02/2022
Pagado,FPA9000018711,690576,180,01/05/2020,31/01/2022
Pagado,FPA9000018713,690645,31,01/05/2020,31/01/2022
Pagado,FPA9000018716,690806,12,01/05/2020,31/01/2022
Pagado,FPA9000018718,690806,46,01/05/2020,31/01/2022
Pagado,FPA9000018722,691136,22,01/05/2020,31/01/2022
Pagado,FPA9000018728,691488,113,01/05/2020,31/01/2022
Pagado,FPA9000018749,692797,139,01/05/2020,31/01/2022
Pagado,FPA9000018763,693511,4,01/05/2020,31/01/2022
Pagado,FPA9000018773,693849,86,01/05/2020,31/01/2022
Pagado,FPA9000018790,694988,15,01/05/2020,31/01/2022
Pagado,FPA9000018791,695029,8,01/05/2020,31/01/2022
Pagado,FPA9000018795,695588,29,01/05/2020,31/01/2022
Pagado,FPA9000018802,696462,58,01/05/2020,31/01/2022
Pagado,FPA9000018824,1044685,105,01/05/2020,31/01/2022
Pagado,FPA9000018865,4500878,395,01/05/2020,30/11/2021
Pagado,FPA9000018879,4863084,380,01/05/2020,31/08/2021
Pagado,FPA9000018883,4924964,44,01/05/2020,31/01/2022
Pagado,FPA9000018884,4925095,214,01/05/2020,31/01/2022
Pagado,FPA9000018888,6308258,306,01/05/2020,31/01/2022
Pagado,FPA9000018891,6316611,15,01/05/2020,31/01/2022
Pagado,FPA9000018922,6507691,1231,01/05/2020,31/01/2022
Pagado,FPA9000018925,6507868,982,01/05/2020,30/11/2021
Pagado,FPA9000018926,6511046,417,01/05/2020,30/11/2021
Pagado,FPA9000018938,7517701,10,01/05/2020,31/01/2022
Pagado,FPA9000018953,7968212,375,01/05/2020,30/11/2021
Pagado,FPA9000018954,7968233,16,01/05/2020,31/01/2022
Pagado,FPA9000018958,7969213,820,01/05/2020,20/04/2022
Pagado,FPA9000018965,7972216,264,01/05/2020,09/05/2022
Pagado,FPA9000018966,7972254,66,01/05/2020,31/08/2021
Pagado,FPA9000019001,7975287,69,01/05/2020,31/01/2022
Pagado,FPA9000019002,7975329,99,01/05/2020,28/02/2022
Pagado,FPA9000019008,7975568,19,01/05/2020,31/01/2022
Pagado,FPA9000019011,7975623,33,01/05/2020,31/01/2022
Pagado,FPA9000019019,7975729,22,01/05/2020,31/01/2022
Pagado,FPA9000019025,7975780,20,01/05/2020,31/01/2022
Pagado,FPA9000019026,7975790,33,01/05/2020,31/01/2022
Pagado,FPA9000019046,7976611,13,01/05/2020,31/01/2022
Pagado,FPA9000019049,7976651,72,01/05/2020,30/09/2021
Pagado,FPA9000019054,7980918,81,01/05/2020,28/02/2022
Pagado,FPA9000019055,7980921,16,01/05/2020,31/01/2022
Pagado,FPA9000019061,66953718,138,01/05/2020,31/08/2021
Pagado,FPA9000019063,66955753,99,01/05/2020,31/01/2022
Pagado,FPA9000019068,66957172,33,01/05/2020,28/02/2022
Pagado,FPA9000019074,66969573,642,01/05/2020,31/01/2022
Pagado,FPA9000019075,66970332,44,01/05/2020,31/08/2021
Pagado,FPA9000019089,66996440,107,01/05/2020,31/01/2022
Pagado,FPA9000019094,67001021,111,01/05/2020,31/01/2022
Pagado,FPA9000019109,67021616,83,01/05/2020,31/01/2022
Pagado,FPA9000019110,67021627,90,01/05/2020,31/01/2022
Pagado,FPA9000019130,67024998,128,01/05/2020,31/01/2022
Pagado,FPA9000019137,67040724,227,01/05/2020,31/01/2022
Pagado,FPA9000019144,67074650,69,01/05/2020,04/05/2022
Pagado,FPA9000019151,67205397,58,01/05/2020,30/09/2021
Pagado,FPA9000019174,660671,281,01/05/2020,31/08/2021
Pagado,FPA9000019175,660713,631,01/05/2020,31/12/2021
Pagado,FPA9000019182,665836,21,01/05/2020,31/08/2021
Pagado,FPA9000019185,666231,157,01/05/2020,31/08/2021
Pagado,FPA9000019195,667052,218,01/05/2020,31/08/2021
Pagado,FPA9000019200,667193,267,01/05/2020,31/08/2021
Pagado,FPA9000019202,667204,560,01/05/2020,30/09/2021
Pagado,FPA9000019205,667313,161,01/05/2020,30/04/2022
Pagado,FPA9000019219,667799,489,01/05/2020,31/08/2021
Pagado,FPA9000019223,667900,61,01/05/2020,31/08/2021
Pagado,FPA9000019229,668201,45,01/05/2020,31/08/2021
Pagado,FPA9000019236,668767,761,01/05/2020,31/05/2022
Pagado,FPA9000019240,669176,208,01/05/2020,31/03/2022
Pagado,FPA9000019248,669354,234,01/05/2020,31/03/2022
Pagado,FPA9000019265,670033,240,01/05/2020,31/08/2021
Pagado,FPA9000019266,670070,22,01/05/2020,31/08/2021
Pagado,FPA9000019270,670308,310,01/05/2020,30/06/2022
Pagado,FPA9000019278,670677,81,01/05/2020,30/11/2021
Pagado,FPA9000019286,670871,269,01/05/2020,31/08/2021
Pagado,FPA9000019291,670994,250,01/05/2020,31/08/2021
Pagado,FPA9000019298,674130,120,01/05/2020,31/08/2021
Pagado,FPA9000019332,682004,43,01/05/2020,30/11/2021
Pagado,FPA9000019334,682127,112,01/05/2020,31/08/2021
Pagado,FPA9000019337,682247,64,01/05/2020,31/08/2021
Pagado,FPA9000019353,682913,24,01/05/2020,31/08/2021
Pagado,FPA9000019357,682933,9,01/05/2020,31/08/2021
Pagado,FPA9000019378,683446,520,01/05/2020,31/08/2021
Pagado,FPA9000019387,683822,15,01/05/2020,31/01/2022
Pagado,FPA9000019394,684723,2192,01/05/2020,30/11/2021
Pagado,FPA9000019421,685808,37,01/05/2020,31/08/2021
Pagado,FPA9000019423,685938,581,01/05/2020,31/01/2022
Pagado,FPA9000019448,687258,46,01/05/2020,31/08/2021
Pagado,FPA9000019453,687351,395,01/05/2020,31/08/2021
Pagado,FPA9000019495,688231,424,01/05/2020,30/10/2021
Pagado,FPA9000019497,688238,466,01/05/2020,31/03/2022
Pagado,FPA9000019498,688308,184,01/05/2020,31/08/2021
Pagado,FPA9000019502,688414,40,01/05/2020,30/09/2021
Pagado,FPA9000019531,689096,26,01/05/2020,31/03/2022
Pagado,FPA9000019538,689344,434,01/05/2020,30/09/2021
Pagado,FPA9000019578,690491,1228,01/05/2020,31/05/2022
Pagado,FPA9000019582,690544,556,01/05/2020,31/01/2022
Pagado,FPA9000019584,690630,201,01/05/2020,31/08/2021
Pagado,FPA9000019586,690676,236,01/05/2020,30/11/2021
Pagado,FPA9000019587,690680,56,01/05/2020,31/08/2021
Pagado,FPA9000019622,691726,49,01/05/2020,30/09/2021
Pagado,FPA9000019631,692053,12,01/05/2020,31/08/2021
Pagado,FPA9000019638,692224,312,01/05/2020,31/05/2022
Pagado,FPA9000019640,692266,234,01/05/2020,31/01/2022
Pagado,FPA9000019652,692636,115,01/05/2020,31/08/2021
Pagado,FPA9000019684,693822,75,01/05/2020,30/11/2021
Pagado,FPA9000019722,695550,15,01/05/2020,30/10/2021
Pagado,FPA9000019744,696542,1480,01/05/2020,30/10/2021
Pagado,FPA9000019761,697066,44,01/05/2020,31/08/2021
Pagado,FPA9000019770,697330,1470,01/05/2020,31/01/2022
Pagado,FPA9000019788,1048796,134,01/05/2020,31/08/2021
Pagado,FPA9000019808,4369504,252,01/05/2020,30/10/2021
Pagado,FPA9000019814,4427561,68,01/05/2020,30/09/2021
Pagado,FPA9000019815,4427562,68,01/05/2020,30/10/2021
Pagado,FPA9000019823,4545231,91,01/05/2020,31/08/2021
Pagado,FPA9000019849,6402809,225,01/05/2020,31/08/2021
Pagado,FPA9000019871,6483279,164,01/05/2020,31/08/2021
Pagado,FPA9000019878,6501362,533,01/05/2020,31/01/2022
Pagado,FPA9000019883,6503969,727,01/05/2020,30/10/2021
Pagado,FPA9000019887,6551887,612,01/05/2020,30/04/2022
Pagado,FPA9000019900,7553237,146,01/05/2020,31/08/2021
Pagado,FPA9000019904,7967494,401,01/05/2020,30/09/2021
Pagado,FPA9000019915,7973311,655,01/05/2020,30/10/2021
Pagado,FPA9000019922,7974639,119,01/05/2020,30/10/2021
Pagado,FPA9000019923,7974644,119,01/05/2020,31/08/2021
Pagado,FPA9000019924,7974798,17,01/05/2020,31/08/2021
