Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,F001-1091165,24787,53,08/02/2022,08/02/2022
Pagado,F001-1090993,7553197,85,08/02/2022,08/02/2022
Pagado,F001-1090551,644157,435,08/02/2022,08/02/2022
Pagado,F001-1091216,57002,164,08/02/2022,08/02/2022
Pagado,F001-1091370,546214,47,08/02/2022,08/02/2022
Pagado,F001-1089720,93874,130,08/02/2022,08/02/2022
Pagado,F001-1091100,8069815,59,08/02/2022,08/02/2022
Pagado,F001-1090887,2942985,118,08/02/2022,08/02/2022
Pagado,B005-0017851,8077043,24,08/02/2022,08/02/2022
Pagado,F002-0166060,1936936,3629,08/02/2022,08/02/2022
Pagado,F002-0165344,356766,487,08/02/2022,08/02/2022
Pagado,F001-1091666,2543154,169,08/02/2022,08/02/2022
Pagado,F001-1093462,8082017,97,08/02/2022,08/02/2022
Pagado,F001-1090227,7974397,181,08/02/2022,08/02/2022
Pagado,F002-0164905,1131795,117,08/02/2022,08/02/2022
Pagado,F001-1091255,73522,55,08/02/2022,08/02/2022
Pagado,F002-0165790,7984822,21,08/02/2022,08/02/2022
Pagado,F002-0165527,1882533,118,08/02/2022,08/02/2022
Pagado,F001-1092777,59570,103,09/02/2022,09/02/2022
Pagado,F002-0165853,59570,117,09/02/2022,09/02/2022
Pagado,F001-1092861,81593,60,09/02/2022,09/02/2022
Pagado,F001-1092892,91782,236,09/02/2022,09/02/2022
Pagado,F001-1094490,330520,93,09/02/2022,09/02/2022
Pagado,F001-1083342,377020,133,09/02/2022,09/02/2022
Pagado,F001-1091362,491671,68,09/02/2022,09/02/2022
Pagado,F002-0166006,643583,127,09/02/2022,09/02/2022
Pagado,F002-0166011,738517,54,09/02/2022,09/02/2022
Pagado,F002-0165396,866527,97,09/02/2022,09/02/2022
Pagado,F002-0165407,992760,103,09/02/2022,09/02/2022
Pagado,F002-0165441,1218645,1287,09/02/2022,09/02/2022
Pagado,F002-0165479,1651707,97,09/02/2022,09/02/2022
Pagado,F001-1093557,1660603,70,09/02/2022,09/02/2022
Pagado,F002-0165928,1800073,60,09/02/2022,09/02/2022
Pagado,F002-0165507,1811847,708,09/02/2022,09/02/2022
Pagado,F002-0166056,1908976,145,09/02/2022,09/02/2022
Pagado,F001-1092619,1976383,38,09/02/2022,09/02/2022
Pagado,F002-0165568,2200842,59,09/02/2022,09/02/2022
Pagado,F001-1093175,2214468,177,09/02/2022,09/02/2022
Pagado,F001-1095615,2267574,24,09/02/2022,09/02/2022
Pagado,F002-0165609,2459675,41,09/02/2022,09/02/2022
Pagado,F002-0166081,2916078,201,09/02/2022,09/02/2022
Pagado,F001-1090474,2932001,201,09/02/2022,09/02/2022
Pagado,F001-1091753,6898242,133,09/02/2022,09/02/2022
Pagado,F001-1094852,6898242,133,09/02/2022,09/02/2022
Pagado,F002-0165687,7071251,121,09/02/2022,09/02/2022
Pagado,F001-1088599,7186461,94,09/02/2022,09/02/2022
Pagado,F002-0165709,7453997,121,09/02/2022,09/02/2022
Pagado,F001-1094980,7970192,85,09/02/2022,09/02/2022
Pagado,F001-1094183,7972192,103,09/02/2022,09/02/2022
Pagado,F002-0165801,8059146,60,09/02/2022,09/02/2022
Pagado,F001-1087953,8060515,97,09/02/2022,09/02/2022
Pagado,F001-1091077,8060515,97,09/02/2022,09/02/2022
Pagado,F001-1094232,8060515,97,09/02/2022,09/02/2022
Pagado,B005-0018575,8078590,35,09/02/2022,09/02/2022
Pagado,F001-1095454,8079088,71,09/02/2022,09/02/2022
Pagado,F001-1095518,8080636,77,09/02/2022,09/02/2022
Pagado,F001-1089683,83733,2950,09/02/2022,09/02/2022
Pagado,F001-1092865,83733,2950,09/02/2022,09/02/2022
Pagado,F001-1092866,83733,1154,09/02/2022,09/02/2022
Pagado,F001-1093613,2888209,117,09/02/2022,09/02/2022
Pagado,F001-1090995,7569857,85,09/02/2022,09/02/2022
Pagado,F001-1091211,55001,342,09/02/2022,09/02/2022
Pagado,F001-1091090,8067793,59,09/02/2022,09/02/2022
Pagado,F001-1091396,741005,106,09/02/2022,09/02/2022
Pagado,F001-1090608,1032755,79,09/02/2022,09/02/2022
Pagado,F001-1090974,7405787,127,09/02/2022,09/02/2022
Pagado,F001-1091292,90060,71,09/02/2022,09/02/2022
Pagado,F001-1091213,55378,117,09/02/2022,09/02/2022
Pagado,F001-1090921,7026435,94,09/02/2022,09/02/2022
Pagado,F001-1090961,7268626,181,09/02/2022,09/02/2022
Pagado,F001-1091080,8060709,61,09/02/2022,09/02/2022
Pagado,F001-1090845,2744381,97,09/02/2022,09/02/2022
Pagado,F001-1091107,8071823,59,09/02/2022,09/02/2022
Pagado,F001-1089470,10918,79,09/02/2022,09/02/2022
Pagado,F001-1091060,7980914,121,09/02/2022,09/02/2022
Pagado,F001-1091237,63512,342,09/02/2022,09/02/2022
Pagado,F001-1090661,1288074,490,09/02/2022,09/02/2022
Pagado,F001-1090973,7405019,61,09/02/2022,09/02/2022
Pagado,F001-1091514,2242794,135,09/02/2022,09/02/2022
Pagado,F001-1089844,381107,288,09/02/2022,09/02/2022
Pagado,F001-1089570,54033,1450,09/02/2022,09/02/2022
Pagado,F001-1090880,2936676,31,09/02/2022,09/02/2022
Pagado,F001-1091067,7991628,121,09/02/2022,09/02/2022
Pagado,F001-1094015,2910070,67,09/02/2022,09/02/2022
Pagado,F001-1094626,16178,314,09/02/2022,09/02/2022
Pagado,F001-1089567,53700,3653,09/02/2022,09/02/2022
Pagado,F002-0166009,702884,133,09/02/2022,09/02/2022
Pagado,F001-1093081,1213288,127,09/02/2022,09/02/2022
Pagado,F002-0165245,6816,122,09/02/2022,09/02/2022
Pagado,F002-0165651,2918788,97,09/02/2022,09/02/2022
Pagado,F002-0165432,1157008,85,09/02/2022,09/02/2022
Pagado,F002-0166228,105438,73,09/02/2022,09/02/2022
Pagado,F002-0165349,434663,41,09/02/2022,09/02/2022
Pagado,F002-0165909,203399,22,09/02/2022,09/02/2022
Pagado,F001-1093311,7405422,21,09/02/2022,09/02/2022
Pagado,F002-0165969,8081249,1274,02/02/2022,02/02/2022
Pagado,F002-0165969,8081249,174,09/02/2022,09/02/2022
Pagado,F002-0165985,61125,411,09/02/2022,09/02/2022
Pagado,F002-0165092,736293,342,09/02/2022,09/02/2022
Pagado,B007-0006032,8072126,35,07/02/2022,07/02/2022
Pagado,F001-1087333,417803,59,10/02/2022,10/02/2022
Pagado,F001-1091249,70413,117,10/02/2022,10/02/2022
Pagado,F001-1089403,202836,968,10/02/2022,10/02/2022
Pagado,F001-1089573,54914,94,10/02/2022,10/02/2022
Pagado,B005-0017958,817407,118,10/02/2022,10/02/2022
Pagado,F001-1091343,368824,71,10/02/2022,10/02/2022
Pagado,F001-1089838,368824,351,10/02/2022,10/02/2022
Pagado,F001-1089796,256481,206,10/02/2022,10/02/2022
Pagado,F001-1091042,7974775,121,10/02/2022,10/02/2022
Pagado,F001-1091179,44083,61,10/02/2022,10/02/2022
Pagado,F001-1089520,44083,224,10/02/2022,10/02/2022
